Service_name,Service_url,Main_Services,Other_Services,Serving,Phone_Number,Website,Location_Address,Location_URL_Map,Eligibility,Availability,Description,Languages,Cost,Google_Review,Facebook_URL,Twitter_URL,Coverage,Latitude,Longitude,Zipcode,24hour,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Google_Rating,Service
Achievement through Counseling and Treatment ACT (JEVS Human Services),https://www.auntbertha.com//jevs-human-services--philadelphia-pa--achievement-through-counseling-and-treatment-%2528act%2529/5928980046675968?postal=19104,"['addiction & recovery', 'medications for addiction', 'medical care', 'checkup & test', 'prevent & treat', 'counseling', 'sexual and reproductive health', 'std/sti treatment & prevention', 'support network', 'more education']","['help find work', 'resume development']","['adults 18+', 'substance dependency']",215-854-1800,https://www.jevshumanservices.org/program/achievement-through-counseling-and-treatment/,"1845 Walnut Street, Philadelphia, PA 19103","https://www.google.com/maps/?q=1745+North+4th+Street,+Philadelphia,+PA+19122/",['This program helps people who are older than 17 years old.'],available,"Operating under the JEVS network, Achievement Through Counseling and Treatment (ACT) operates two outpatient, state-certified opioid treatment facilities in Philadelphia, known as ACT I and ACT II.This program provides:- Medication-assisted treatment for opiate abuse- Outpatient methadone maintenance services, - Individual, group, and family counseling, - Free and confidential HIV/AIDS testing- Employment services like resumé workshops, and job placement assistanceCommunity Behavioral Health (CBH) pays for all treatment if you are an eligible participant. If you are ineligible for CBH coverage, you may be eligible for Behavioral Health Services Initiative (BHSI) support or other insurance; private pay of a weekly fee may be arranged.","['English', 'Spanish']",Sliding Scale,TRUE,https://www.facebook.com/JEVSHumanServices,https://www.twitter.com/@JEVSHumanServs,"This program covers residents of the following counties: Philadelphia County, PA.",39.9775523,-75.1414607,19122,FALSE,9:00AM - 5:00PM,9:00AM - 5:00PM,9:00AM - 5:00PM,9:00AM - 5:00PM,9:00AM - 5:00PM,Closed,Closed,0,Mental Health
Addiction Medicine And Health Advocates (African Cultural Alliance of North America Inc. ACANA),https://www.auntbertha.com//addiction-medicine-and-health-advocates%252C-inc.-%2528amha%2529--philadelphia-pa--addiction-medicine-and-health-advocates/5185303560585216?postal=19104,"['addiction & recovery', 'detox', 'outpatient treatment', 'understand mental health', 'group therapy', 'substance abuse counseling', 'family counseling', 'mental health evaluation', 'drug testing', 'navigating the system', 'support network', 'one-on-one support']",,"['adults', 'young adults', 'teens', 'seniors', 'substance dependency', 'families']",215-923-4202,https://amhainc.org/services,"928 Market St, Philadelphia, PA 19107","https://www.google.com/maps/?q=928+Market+St,+Philadelphia,+PA+19107/",[],available,"Addiction Medicine and Health Advocates, Inc. (AMHA) provides evidence-based substance abuse treatment, which is continuously responsive to the needs of the patients and their families. AMHA is an outpatient facility consisting of two levels of care: Outpatient and Intensive Outpatient. Methadone Maintenance is provided on both levels of care.Services provided include:• Assessment and intake• Medication-assisted treatment (methadone maintenance)• Individual counseling & psychotherapy• Group psychotherapy• Psycho education• Medical & psychiatric evaluations • Aftercare & follow up services • Referrals (educational, medical, vocational, psychiatric, higher levels of care)• Couples & family therapy• Drug screening To begin the admissions process, please contact us. You may also come in person between the hours of 9 am and 4 pm, Monday through Friday. You will be asked to complete a short screening interview and if initial eligibility criteria is met, you will be scheduled for an assessment.At the time of your assessment, you will need to bring:• Current, state-issued photo ID• Insurance cardAMHA is a private not-for-profit organization dependent upon patient fees for its continuance. Most of our patients have some form of insurance or medical assistance that pays for medication-assisted treatment services. Individuals who do not have insurance are responsible for payment or they may be eligible for county funding.",['English'],Reduced Cost,TRUE,None,None,"This program covers residents of the following counties: Philadelphia County, PA.",39.9510066,-75.1561655,19107,FALSE,6:00AM - 2:00PM,6:00AM - 2:00PM,6:00AM - 2:00PM,6:00AM - 2:00PM,6:00AM - 2:00PM,6:00 - 11:45AM,6:00 - 11:45AM,4.2,Mental Health
Addiction Recovery Services (Merakey - Pennsylvania),https://www.auntbertha.com//merakey---pennsylvania--philadelphia-pa--addiction-recovery-services/6032260047568896?postal=19131,"['addiction & recovery', 'substance abuse counseling', 'mental health care', 'counseling']",,"['adults 18+', 'benefit recipients', 'all mental health', 'substance dependency']",866-647-0007,https://www.merakey.org/services/addiction-recovery#programs-offered,"5000 Parkside Avenue, Philadelphia, PA 19131","https://www.google.com/maps/?q=5000+Parkside+Avenue,+Philadelphia,+PA+19131/",['Must have Medicaid.'],available,"Merakey offers comprehensive clinical, evidence-based practice, and therapeutic programs in both community based and clinic based settings to address the impact of addiction on the community, family, and individual.This program provides:- Group, Family, and Individual Counseling- Outpatient and Intensive Outpatient Programs- Drug Free and Medication Assisted Modalities- Co-Occurring Disorders Treatment- Pharmacotherapy Programs- Drug and Alcohol Education- Life Skills Management- Relapse Prevention Planning- Drug ScreeningMerakey accepts Medicaid.",['English'],Reduced Cost,TRUE,https://www.facebook.com/MerakeyOrg/,,"This program covers residents of the following counties: Delaware County, PA, Montgomery County, PA, Northumberland County, PA and Philadelphia County, PA.",39.9796591,-75.219737,19131,FALSE,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,Closed,Closed,3.1,Mental Health
Addiction Services (University of Pennsylvania Perelman School of Medicine),https://www.auntbertha.com//university-of-pennsylvania-perelman-school-of-medicine--philadelphia-pa--addiction-services/5001274926563328?postal=19104,"['addiction & recovery', 'substance abuse counseling', 'health education', 'mental health care', 'counseling', 'group therapy', 'individual counseling', 'peer support']",,"['adults', 'seniors', 'individuals', 'benefit recipients', 'substance dependency', 'opioid dependency', 'alcohol dependency', 'dual diagnosis']",215-662-8747,https://www.med.upenn.edu/recovery/intensive-outpatient-and-outpatient-substance-use-and-co-occuring-treatment-program.html,"4040 Market Street, Philadelphia, PA 19104","https://www.google.com/maps/?q=4040+Market+Street,+Philadelphia,+PA+19104/","['This program helps people who are older than 17 years old', 'Must have Medicaid.']",available,"Penn Presbyterian Medical Center offers a wide range of behavior health services, including inpatient and outpatient services for mental health and addiction treatments, and specialty mental health programs for older adults.This program provides:- Individual and Group counseling- Educational materials and support- Relapse prevention groupsFamily support and orientation meetings are available for all patients.University of Pennsylvania Perelman School of Medicine accepts Medicaid.","['English', 'Spanish']",Reduced Cost,TRUE,https://www.facebook.com/MFCPenn/,https://www.twitter.com/@MFCPenn,"This program covers residents of the following cities: Philadelphia, PA.",39.9569563,-75.2033262,19104,FALSE,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,Closed,Closed,0,Mental Health
Adolescent Behavioral Health Inpatient Treatment (Friends Hospital),https://www.auntbertha.com//friends-hospital--philadelphia-pa--adolescent-behavioral-health-inpatient-treatment/4822984222310400?postal=19104,"['addiction & recovery', 'mental health evaluation', 'hospital treatment', 'mental health care', 'residential care']","['group therapy', 'family counseling', 'individual counseling', 'alternative education']","['teens', 'benefit recipients', 'all mental health', 'substance dependency', 'dual diagnosis']",215-831-4600,https://friendshospital.com,"4641 Roosevelt Boulevard, Philadelphia, PA 19124","https://www.google.com/maps/?q=4641+Roosevelt+Boulevard,+Philadelphia,+PA+19124/","['This program helps people who are 13 to 17 years old.', 'Must have Medicare and Medicaid.']",available,"Friends Hospital provides psychiatric treatment and support to adolescents so they can begin to identify challenges, better handle frustrations and develop constructive, healthy behaviors. Program services takes place in a dedicated adolescent unit with separate wings for males and female patients.This program provides:- Treatment for all major psychiatric disorders and co-occurring substance issues- Holistic and patient-centered treatment approach- Individualized treatment, wellness and discharge plans- Individual, group and family therapy- Academic support (includes educational assessment and daily educational instruction from a certified teacher)Almost all major health insurances, including Medicaid and Medicare are accepted. It is the policy of Friends Hospital not to create a financial hardship for any patient. If necessary, a payment plan appropriate to the patient’s financial status can be established.To make the admission process go as smoothly as possible, please download and complete our authorization completion instructions and authorization to obtain or release protected health information form. To schedule a confidential assessment or learn more about the admission process, please call the admission department.",['English'],Reduced Cost,TRUE,None,None,"This program covers residents of the following counties: Philadelphia County, PA.",40.0266061,-75.0994722,19124,TRUE,0:00AM - 11:59PM,0:00AM - 11:59PM,0:00AM - 11:59PM,0:00AM - 11:59PM,0:00AM - 11:59PM,0:00AM - 11:59PM,0:00AM - 11:59PM,1.8,Mental Health
Adolescent Medicine (Children's Hospital of Philadelphia),https://www.auntbertha.com//children%2527s-hospital-of-philadelphia-%2528chop%2529--philadelphia-pa--adolescent-medicine/6028853140258816?postal=19104,"['medical care', 'checkup & test', 'prevent & treat', 'mental health evaluation', 'sexual and reproductive health', 'womens health', 'birth control', 'std/sti treatment & prevention']","['family planning', 'sex education', 'disease screening']","['young adults', 'teens', 'children', 'chronic illness', 'benefit recipients', 'depression', 'anxiety', 'eating disorder', 'lgbtqia+']",215-590-1000,https://www.chop.edu/centers-programs/adolescent-medicine,"3401 Civic Center Blvd., Philadelphia, PA 19104","https://www.google.com/maps/?q=3550+Market+Street,+Philadelphia,+PA+19104/","['This program helps people who are 10 to 24 years old.', 'Must have Medical Assistance or Medicare.']",available,"The Craig Dalsimer Division of Adolescent Medicine provides comprehensive care for youth aged 10 to 24. CHOP strives to provide high-quality medical care to youth throughout the adolescent years, with a focus on respecting individuality, supporting physical and emotional growth and development, and educating and empowering teens to ultimately take ownership of their healthcare and life decisions.   This program provides:- Evaluation of organic causes of mood disorders- Support for diagnosis and medical management of uncomplicated depression and anxiety- Medical evaluation of malnutrition- Young men's health services- Contraception- Contraceptive counseling- Sexually transmitted disease (STD) testing and treatment- Reproductive health visitsCare is provided for:- Adolescent issues related to complex chronic medical conditions- Menstrual problems- Ovarian cysts- Polycystic ovarian syndrome- Vaginal discharge- Eating and feeding disorders- Hirsutism- Gender identity and sexual development issues- Delayed puberty/delayed sexual developmentThis program accepts Medicare and Medical Assistance of PA and NJ.",['English'],Reduced Cost,TRUE,https://www.facebook.com/ChildrensHospitalofPhiladelphia,https://www.twitter.com/@ChildrensPhila,"This program covers residents of the following counties: Delaware County, PA, Montgomery County, PA and Philadelphia County, PA.",39.9557465,-75.1940257,19104,TRUE,0:00AM - 11:59PM,0:00AM - 11:59PM,0:00AM - 11:59PM,0:00AM - 11:59PM,0:00AM - 11:59PM,0:00AM - 11:59PM,0:00AM - 11:59PM,4.1,Mental Health
"Adolescent Treatment Programming Willpower, Options, Resources and Direction - W.O.R.D (The Consortium, Inc.)",https://www.auntbertha.com//the-consortium%252C-inc.--philadelphia-pa--adolescent-treatment-programming-%2528willpower%252C-options%252C-resources-and-direction---w.o.r.d%2529/6383660694765568?postal=19104,"['addiction & recovery', 'substance abuse counseling', 'mental health care']","['group therapy', 'individual counseling']","['adults', 'teens', 'benefit recipients', 'low-income', 'substance dependency', 'alcohol dependency']",215-596-8100,https://consortiuminc.org/,"26 South 40th Street, Philadelphia, PA 19104","https://www.google.com/maps/?q=26+South+40th+Street,+Philadelphia,+PA+19104/","['This program helps people who are 14 to 21 years old.', 'Must have Medicaid.']",available,"The WORD program is an addictions treatment program designed to treat adolescents between the ages of 14-21, struggling with early addiction. The youth served may experience varying degrees of substance use and/or co-occurring mental health challenges.Treatment can include:- Individualized assessment- Individual or group therapy- Family therapy- Psychiatric evaluation- Medication evaluation- Care coordination- Supportive collateral servicesGroup therapy is assigned following an assessment of needs, which also assists in determining either an Intensive or outpatient level of care.Referrals to the Adolescent Addiction treatment program initiates from family and friends, as well as external agencies such as the Philadelphia Juvenile Justice system, in-patient hospitals and other human service agencies.The Consortium accepts Medicaid and offers a sliding scale fee for low-income individuals. We don't turn anyone away.",['English'],Sliding Scale,TRUE,None,None,"This program covers residents of the following counties: Philadelphia County, PA.",39.9565451,-75.2022776,19104,FALSE,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,Closed,Closed,4,Mental Health
Adult Behavioral Health Inpatient Treatment (Friends Hospital),https://www.auntbertha.com//friends-hospital--philadelphia-pa--adult-behavioral-health-inpatient-treatment/5638513518444544?postal=19104,"['residential treatment', 'substance abuse counseling', 'medical care', 'counseling', 'residential care']",,"['adults 18+', 'depression', 'all mental health', 'substance dependency']",215-831-4600,https://friendshospital.com/programs-and-services/adults/,"4641 Roosevelt Boulevard, Philadelphia, PA 19124","https://www.google.com/maps/?q=4641+Roosevelt+Boulevard,+Philadelphia,+PA+19124/",['Must be between the ages of 18 to 65.'],available,"Friends Hospital's Adult Behavioral Health Inpatient Program helps individuals understand their condition and develop healthy alternative behaviors. The hospital has several specialized adult units to meet the varied needs of its patients. This includes an intensive adult unit for individuals with severe and persistent mental illness and our recovery unit.This program provides:- Treatment for all major psychiatric disorders and co-occurring substance issues- Recovery-oriented approach that emphasizes the patient’s support systems, strengths and community connections- Individual, group and family therapy- Individualized treatment, wellness and discharge plans- Private bedrooms with unit access to an enclosed outside courtyardAlmost all major health insurances, including Medicare are accepted. It is the policy of Friends Hospital not to create a financial hardship for any patient. If necessary, a payment plan appropriate to the patient’s financial status can be established. To make the admission process go as smoothly as possible, please download and complete the authorization completion instructions and authorization to obtain or release protected health information form. To schedule a confidential assessment or learn more about the admission process, please call the admission department.",['English'],Reduced Cost,TRUE,None,None,"This program covers residents of the following counties: Philadelphia County, PA.",40.0266061,-75.0994722,19124,TRUE,0:00AM - 11:59PM,0:00AM - 11:59PM,0:00AM - 11:59PM,0:00AM - 11:59PM,0:00AM - 11:59PM,0:00AM - 11:59PM,0:00AM - 11:59PM,1.8,Mental Health
Adult Behavioral Health Services (Family Practice & Counseling Network),https://www.auntbertha.com//family-practice-%2526-counseling-network-%2528fpcn%2529--philadelphia-pa--adult-behavioral-health-services/4868809086468096?postal=19104,"['counseling', 'mental health care', 'family counseling', 'individual counseling', 'medications for mental health', 'mental health evaluation']",,"['adults 18+', 'benefit recipients', 'low-income', 'uninsured', 'limited english', 'depression', 'anxiety', 'all mental health']",215-843-9720,https://www.fpcn.com/,"4700 Wissahickon Avenue, Philadelphia, PA 19144","https://www.google.com/maps/?q=3901+Market+Street,+Philadelphia,+PA+19104/",['This program helps people who are older than 17 years old.'],available,"In the Outpatient Behavioral Health Department at FPCN, our licensed clinicians provide psychotherapy for adults using individual, group, couple, and family modalities.  We work to empower people to reach their life goals and are skilled in treating trauma and loss, depression, anxiety, anger management, behavior problems, stress, attention deficit, and parenting challenges. Psychiatrists are available to those active in therapy to evaluate if medication might be helpful to a person’s treatment and to monitor its effectiveness.Services: - Mental health assessment- Individual and Couples Therapy - Medication for mental illness- Services and accommodations for people who do not speak English such as in-house staff translators or a language translation telecommunication service.   No one will be turned away for inability to pay. FPCN offers services on a sliding scale, and accepts Medicaid and Medicare. Please bring the required documents with you for your first visit.",['English'],Sliding Scale,TRUE,None,None,"This program covers residents of the following counties: Philadelphia County, PA.",39.9574429,-75.2007276,19104,FALSE,9:00AM - 5:00PM,9:00AM - 5:00PM,9:00AM - 5:00PM,9:00AM - 5:00PM,9:00AM - 5:00PM,Closed,Closed,2.3,Mental Health
Adult Behavioral Health Services (University of Pennsylvania Perelman School of Medicine),https://www.auntbertha.com//university-of-pennsylvania-perelman-school-of-medicine--philadelphia-pa--adult-behavioral-health-services/4967396137893888?postal=19104,"['mental health care', 'mental health evaluation', 'navigating the system', 'case management']",['temporary shelter'],"['adults 18+', 'individuals', 'families', 'all mental health']",215-829-7271,https://www.med.upenn.edu/hallmercer/clinical_adults.html,"245 South 8th Street, Philadelphia, PA 19107","https://www.google.com/maps/?q=245+South+8th+Street,+Philadelphia,+PA+19107/",['This program serves adults (18+).'],available,Hall-Mercer Community Mental Health Center offers a variety of adult behavioral health services to meet the needs of the community.This program provides:- Intake & Continuity of Care Cervices- Blended Case Management- ACCESS Intensive Case Management- Prevention & Recovery Services (PARS-RC)- Homeless Outreach Services,['English'],Sliding Scale,TRUE,None,None,"This program covers residents of the following counties: Philadelphia County, PA.",39.9465396,-75.1544013,19107,FALSE,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,Closed,Closed,2.1,Mental Health
