node_id,node_attr
0,Food Pantries (Salvation Army Eastern Pennsylvania & Delaware)
1,39.9677192
2,FoodPantry
3,English
4,Families
5,Free
6,Individuals
7,AnyoneInNeed
8,Available
9,AllAges
10,Food
11,"""19123"""
12,"""https://www.facebook.com/SalvationArmyUSA"""
13,"""https://www.twitter.com/@SalvationArmyUS"""
14,"""Food Pantries (Salvation Army Eastern Pennsylvania & Delaware)_6322661409292288"""
15,""""""
16,"""Food Pantries (Salvation Army Eastern Pennsylvania & Delaware)"""
17,XMLSchema#anyUri
18,"""This program covers residents of the following cities: Bethlehem, PA, Boyertown, PA, Carlisle, PA, Chester, PA, Coatesville, PA, Darby, PA, East Stroudsburg, PA, Lebanon, PA, Philadelphia, PA, Pottsville, PA, Sunbury, PA and Allentown, PA."""
19,"""1340 Brown Street, Philadelphia, PA 19123"""
20,XMLSchema#decimal
21,AB-Food Pantries (Salvation Army Eastern Pennsylvania & Delaware)
22,P-Food Pantries (Salvation Army Eastern Pennsylvania & Delaware)
23,19123
24,"""tel:+1-215-787-2962"""
25,"""Salvation Army Eastern Pennsylvania & Delaware provides quality food items to households experiencing food insecurity. This program supplies critical nutrition to hungry individuals and families. This program provides:- Food to meet basic nutritional needsFood is always free, but some locations require appointments while others operate on a walk-in, first come first served basis. Call your local Salvation Army office to determine which days their food pantries serve your area."""
26,"""Friday Closed"
27,"""Monday from 08:00 to 16:00"""
28,"""Thursday Closed"
29,"""Sunday Closed"
30,"""Saturday Closed"
31,"""Wednesday from 08:00 to 16:00"""
32,"""Tuesday from 08:00 to 16:00"""
33,"""Anyone can access this program."""
34,Social Services Program (Salvation Army Eastern Pennsylvania and Delaware)
35,40.040964
36,39.9610016
37,NavigatingTheSystem
38,Clothing
39,SkillsAndTraining
40,InterviewTraining
41,HelpFindWork
42,SupportNetwork
43,ResumeDevelopment
44,Meals
45,SpiritualSupport
46,FinancialEducation
47,ToysAndGifts
48,Homeless
49,Counseling
50,LowIncome
51,ParentingEducation
52,NearHomeless
53,Mental Health
54,"""19128"""
55,"""19139"""
56,"""https://www.twitter.com/@SalArmyPhilly"""
57,"""https://www.facebook.com/SalvationArmyPhiladelphia"""
58,"""Social Services Program (Salvation Army Eastern Pennsylvania and Delaware)_4620877509427200"""
59,"""Social Services Program (Salvation Army Eastern Pennsylvania & Delaware)"""
60,"""Social Services Program (Salvation Army Eastern Pennsylvania and Delaware)"""
